Topic,Count,Name,Representation,Representative_Docs
-1,180924,-1_police_gay_man_he,"['police', 'gay', 'man', 'he', 'was', 'and', 'the', 'they', 'white', 'nigga']","['My nigga got his look and went back his game lol', 'U right. Nigga tried to take my life cuz I broke up w him 😭 these niggas different and ion like it', 'black people don’t even say ghetto the way white people mean it.']"
0,4152,0_trans_transgender_transphobia_ftm,"['trans', 'transgender', 'transphobia', 'ftm', 'intersex', 'transmasculine', 'ki2dekfc0w', 'transphobic', 'cis', 'jk_rowling']","['this has nothing to do with being trans lol', 'I just need to tell them I’m trans 😅', 'transgender men, women and children']"
1,3289,1_she_her_bitch_girl,"['she', 'her', 'bitch', 'girl', 'nigga', 'drag', 'wit', 'said', 'ain', 'fucked']","['Fuck wit a nigga like me ima give her what she need ima give her what she want 🤨🤨', 'She got a nigga... fuck that nigga he ain’t shit', 'You her nigga 🗣😭😭😂😂😂']"
2,2900,2_blacks_people_word_non,"['blacks', 'people', 'word', 'non', 'folks', 'person', 'racist', 'community', 'black', 'ppl']","['You know you black when you can read this word for word 🤣🤣', 'I hear the n word but see no black people 🤔🧐', 'If you say the n word and you’re not black please never speak to me again :)']"
3,2801,3_racism_systemic_systematic_racist,"['racism', 'systemic', 'systematic', 'racist', 'reverse', 'exist', 'ignorance', 'blatant', 'country', 'racists']","['Racism does as racism is', 'Fuck racism', 'This is racism']"
4,2269,4_women_woman_date_men,"['women', 'woman', 'date', 'men', 'protect', 'black', 'beautiful', 'girls', 'strong', 'dating']","['i love black women', '&amp; black women 🥰', 'black women*']"
5,1871,5_nigga_lmao_nig_lmaoo,"['nigga', 'lmao', 'nig', 'lmaoo', 'lmfaoo', 'real', 'heshizm', 'lmaooo', 'lol', 'lmfao']","['@HESHIZM Text me nigga', '@TLC #Dragnificent \nShaky, Shaky, Pa-Pa-Pa! \nEverything I needed to know about #drag! \n\n#thingsDanielthinks', '@HESHIZM lmfao man nigga I aint even peep, ima tap in wit you rn']"
6,1806,6_ghetto_af_asf_hood,"['ghetto', 'af', 'asf', 'hood', 'whew', 'shit', 'valley', 'ass', 'fabulous', 'lmao']","['in the ghetto (?)', 'In the ghetto', '...the ghetto 🥴']"
7,1708,7_she_her_woman_herself,"['she', 'her', 'woman', 'herself', 'black', 'racist', 'indian', 'girl', 'shes', 'racism']","['Or her racism is there for all to see.', 'Don’t she hate black women?', 'she’s not just black so what the fuck y’all want from her? The fuck.']"
8,1669,8_protests_protest_tomorrow_going,"['protests', 'protest', 'tomorrow', 'going', 'peaceful', 'protesting', 'go', 'peacefully', 'happening', 'anyone']","['This is why we protest', 'What protests going on today?', 'What ? This is a protest ? No is not']"
9,1597,9_onlyfans_gayboy_gayporn_gaymen,"['onlyfans', 'gayboy', 'gayporn', 'gaymen', 'gayman', 'bigdick', 'gay', 'nude', 'bulge', 'twink']","['🍆https://t.co/w5NUQrv8Zf😈\n#gay #gayvid #gaymen #gaymasseur #twink #adult #gaymassage #gaykink #joteria #onlyfans… https://t.co/55PsFO0X6U', 'just felt like showing off. 😈 \n\n#gay #nude #showoff #nudes #gayporn #xxx #onlyfans #OnlyFansPromo #onlyfans #nsfw… https://t.co/tTDf2JBK19', '🍆https://t.co/w5NUQrv8Zf😈\n#gay #gayvid #gaymen #gaymasseur #twink #adult #gaymassage #gaykink #joteria #onlyfans… https://t.co/yA8aLB4PxV']"
10,1560,10_aliens_alien_ancient_ufo,"['aliens', 'alien', 'ancient', 'ufo', 'earth', 'ufos', 'space', 'abducted', 'exist', 'planet']","['Were all aliens 👽', 'Or was it really aliens 👽?', 'We are aliens']"
11,1502,11_justice_served_system_justiceforbreonnataylor,"['justice', 'served', 'system', 'justiceforbreonnataylor', 'prevail', 'breonnataylor', 'restorative', 'finally', 'hopefully', 'delayed']","['And justice for all...', '#justice   ⚖️', '✊ #justice']"
12,1321,12_gender_reveal_reveals_neutral,"['gender', 'reveal', 'reveals', 'neutral', 'feminine', 'identity', 'roles', 'equality', 'masculine', 'studies']","['now I just wanna know if this gender reveal was a boy or a girl', 'gender reveal gone wrong', 'Best gender reveal ever']"
13,1318,13_females_female_women_girls,"['females', 'female', 'women', 'girls', 'ladies', 'woman', 'girl', 'niggas', 'solid', 'men']","['Why the fuck can’t you weird ass niggas leave young females alone', 'You niggas lose good females because you think you that nigga &amp; YOU NOT 🗣‼', 'Right , fuck what females think as long as the niggas cool with it 🥰']"
14,1295,14_hate_hating_hated_hater,"['hate', 'hating', 'hated', 'hater', 'haters', 'hates', 'niggas', 'lame', 'ass', 'weird']","['I hate niggas', 'i hate niggas', 'I hate niggas .']"
