,Topic,Count,Name,Representation,Representative_Docs
0,-1,115590,-1_nigga_niggas_police_black,"['nigga', 'niggas', 'police', 'black', 'this', 'you', 'the', 'that', 'to', 'protest']","['Is there gonna be any pride events in LA this year now that CA is opening up again? Cus if so, I need to ask for time off from work NOW', 'These the niggas y’all love so much', 'I really don’t like this nigga lol']"
1,0,18676,0_gay_queer_lesbian_gender,"['gay', 'queer', 'lesbian', 'gender', 'bisexual', 'straight', 'lgbt', 'lgbtq', 'men', 'feminine']","['I want this but in gay', '😹😹😹 you gay', '#gay']"
2,1,3921,1_cops_killed_cop_unarmed,"['cops', 'killed', 'cop', 'unarmed', 'killing', 'murdered', 'kill', 'innocent', 'blacks', 'people']","['Not that shooting those cops was cool, but why more sincerity to an “Innocent” cop being shot and not an “Innocent” black man', 'Cop really think their job is to kill black people.', 'it took all this rioting to get one white cop arrested for killing a black man. ONE COP.']"
3,2,3671,2_mexican_latino_latinx_latina,"['mexican', 'latino', 'latinx', 'latina', 'latinos', 'hispanic', 'latinas', 'mexicans', 'spanish', 'el']","['and latino', 'I love mexican women 😍', 'i fucking love being mexican']"
4,3,1979,3_red_color_black_gold,"['red', 'color', 'black', 'gold', 'blue', 'colors', 'pink', 'pair', 'gray', 'shorts']","['The red and black', 'Lol these people want me to wear a shirt with color....almost everything I own is black white or grey 🙃🙃🙃', 'it’s the black and red for me']"
5,4,1388,4_police_car_chase_report,"['police', 'car', 'chase', 'report', 'pursuit', 'cars', 'station', 'call', 'calling', 'driving']","['Man fuck the police', 'Someone give me a link to the police chase RIGHT NOW', 'Another police car. Wow']"
6,5,1336,5_justice_system_served_court,"['justice', 'system', 'served', 'court', 'justiceforbreonnataylor', 'criminal', 'supreme', 'justiceforgeorgefloyd', 'guilty', 'demand']","['There is no justice in this country.', 'who’s fucking down to protest. fuck the justice system right now what the fuck', '#no justice']"
7,6,1071,6_money_pay_cash_paid,"['money', 'pay', 'cash', 'paid', 'rich', 'broke', 'paying', 'dollar', 'niggas', 'pussy']","['I’m weak I’d be tryna get the money out of them niggas wit money money lmaooo', 'ion need niggas money i make more money than niggas', 'If you ain’t got the money then it’s no nigga 😇😘']"
8,7,1062,7_pride_happy_month_pridemonth,"['pride', 'happy', 'month', 'pridemonth', 'joy', 'day', 'celebrating', 'celebrate', 'parade', 'pride2021']","['Happy #pride', 'pride', 'Pride #pride']"
9,8,1055,8_song_music_songs_album,"['song', 'music', 'songs', 'album', 'soundcloud', 'beats', 'singing', 'sing', 'sound', 'rapper']","['I find it weird how niggas say ONE song saved an ENTIRE album but every song went gold', 'I wanna make a song called I hate you niggas', 'Only real niggas know this song...']"
10,9,1046,9_drag_race_queen_queens,"['drag', 'race', 'queen', 'queens', 'season', 'racing', 'rupaul', 'makeup', 'she', 'show']","['THIS is my drag', 'my drag', 'A drag']"
11,10,801,10_coconut_milk_water_almond,"['coconut', 'milk', 'water', 'almond', 'cream', 'vanilla', 'oil', 'mango', 'pineapple', 'vegan']","['Do you guys like coconut ???', 'only coconut milk lol', 'coconut 🥥']"
12,11,755,11_chinese_asian_china_asians,"['chinese', 'asian', 'china', 'asians', 'japanese', 'virus', 'taiwan', 'vietnamese', 'taiwanese', 'coronavirus']","[""I'm moving to china"", 'yea i don’t ever need to go to china lol', 'Thinking about a guy with a chinese wife who is like ""Have you met my wife? She\'s Chinese.""']"
13,12,669,12_owned_business_businesses_market,"['owned', 'business', 'businesses', 'market', 'brands', 'companies', 'support', 'brand', 'store', 'stores']","['Y’all gon support my black owned business?', 'It’s not even black owned 😂', 'Support a black owned business.']"
14,13,656,13_twitter_tweet_tweets_post,"['twitter', 'tweet', 'tweets', 'post', 'media', 'tweeting', 'social', 'posting', 'tl', 'delete']","['Where’s my Twitter drag children', '🤣🤣girls are funny than the niggas on Twitter', '@Twitter Shut up nigga']"
15,14,624,14_ain_don_no_nobody,"['ain', 'don', 'no', 'nobody', 'me', 'nigga', 'never', 'fuck', 'none', 'can']","['I ain’t the man I’m that nigga', ""I never give a fuck about what a bitch or nigga got to say cause they ain't ever saying it to me"", 'My nigga ain’t shit 🥺']"
16,15,532,15_she_woman_girl_her,"['she', 'woman', 'girl', 'her', 'magic', 'beautiful', 'women', 'girls', 'beyonce', 'beyoncé']","['Just seen the most beautiful black girl 😍', ""That she's a black magic woman\nShe's trying to make a devil out of me"", 'Just saw a lady tell a black girl she was beautiful. She was right.']"
17,16,496,16_california_angeles_los_beach,"['california', 'angeles', 'los', 'beach', 'blacklivesmatter', 'park', 'memorial', 'losangeles', 'oaks', 'long']","['my face says it all \n\n#explore #explorepage #socal #california #latina #winter @ Newport Beach, California https://t.co/QpcJBTigeY', 'hey\n\n#explore #explorepage #socal #california #latina #winter @ Newport Beach, California https://t.co/ZRpv5w77KQ', 'Long Beach memorial got em!!']"
18,17,486,17_stud_sissy_bi_fag,"['stud', 'sissy', 'bi', 'fag', 'ace', 'thank', 'thanks', 'twink', 'poof', 'dyke']","['Thanks stud', 'stud', 'stud']"
19,18,414,18_jewish_jews_jew_israel,"['jewish', 'jews', 'jew', 'israel', 'semitic', 'anti', 'semitism', 'antisemitism', 'antisemitic', 'holocaust']","['Remember when we were saying that Jewish people have privilege and they didn’t understand what was being said?', 'non jewish celebs tweeting pro jew israel shit is so fake shut up', 'i’m 1% jewish ✡️ 🔥🔥🔥🔥🔥🔥🔥🔥🔥']"
20,19,374,19_smoke_smoking_weed_smoked,"['smoke', 'smoking', 'weed', 'smoked', 'cigarette', 'blunt', 'milds', 'gmo', 'party', 'pop']","['This nigga don’t even smoke', 'niggas don’t want smoke 😂', 'You don’t want this smoke nigga']"
21,20,367,20_woman_women_karen_lady,"['woman', 'women', 'karen', 'lady', 'she', 'her', 'white', 'black', 'protect', 'money']","['Celebrate asian woman but calling a black woman a homeless man! WOW😲', 'Fire the white woman and give the black man her job.', 'A white woman begging a black woman for change.....']"
22,21,332,21_these_niggas_lame_suck,"['these', 'niggas', 'lame', 'suck', 'them', 'ass', 'they', 'hoes', 'mad', 'dead']","['These niggas mad 🤣🤣', 'Tell me why these niggas so lame 🤧😂', 'These niggas dead lame']"
23,22,316,22_virus_coronavirus_corona_covid19,"['virus', 'coronavirus', 'corona', 'covid19', 'flu', 'india', 'covid', 'hiv', '19', 'spread']","['The only nigga that can save us from the virus', 'this virus is so ghetto bro, it’s getting in the way of everything 😔😔😔😔😔😔😔😔😔', 'I still ain’t seen one nigga with corona virus lmao']"
24,23,312,23_officers_training_police_officer,"['officers', 'training', 'police', 'officer', 'trained', 'hiring', 'force', 'agencies', 'recruiting', 'departments']","['Wouldn’t be bad idea to get Chick-fil-A HR to do both the hiring and the training of police officers  😂😂', '#blm #PoliceBrutality #AllLivesMattter TRAINING TRAINING TRAINING &amp; MORE EFFICIENT TRAINING is the answer. NEW POLI… https://t.co/GTr9AfEWxx', 'We need more police officers like this...please!!!']"
25,24,304,24_defunding_abolish_defund_abolishing,"['defunding', 'abolish', 'defund', 'abolishing', 'means', 'police', 'defundthepolice', 'departments', 'defunded', 'rid']","['All of this is called Defunding the police', 'Defunding the police', 'Since we are defunding things let’s defund the police']"
26,25,286,25_rice_beans_pepper_peas,"['rice', 'beans', 'pepper', 'peas', 'chicken', 'bean', 'eyed', 'salt', 'garlic', 'recipe']","['Some black beans and white rice would smack rn', 'Rice my nigga 🥴?', 'Rice under black beans']"
27,26,264,26_he_him_his_questioning,"['he', 'him', 'his', 'questioning', 'hitler', 'david', 'ace', 'ghetto', 'actor', 'stud']","['UPDATE: He has been found!! His cousin just told me and also his pronouns are he/ him!!', 'I know he like “this is some ghetto shit!” 😂😂', 'He’s hitler']"
28,27,257,27_ghetto_bird_ghettoist_classy,"['ghetto', 'bird', 'ghettoist', 'classy', 'outdid', 'so', 'barefoot', 'work', 'af', 'cincinnati']","['ghetto', 'ghetto', 'ghetto']"
29,28,241,28_unity_representation_states_america,"['unity', 'representation', 'states', 'america', 'americans', 'american', 'proportional', 'president', 'usa', 'united']","['@realDonaldTrump You’re president of ALL the states dummy. Today is supposed to be about unity remember???', 'So much for post-election unity', '@realDonaldTrump my co worker said.  She has never seen more unity,  unity in getting you out of office . 🤗🙌']"
30,29,240,29_slave_owners_slavery_slaves,"['slave', 'owners', 'slavery', 'slaves', 'reparations', 'owner', 'democrats', 'freed', 'statue', 'trade']","['Every slave movie: Slavery’s bad. White people bad. Slave good. Maybe white person changes. Slave free or slave die… https://t.co/Few1NX5rst', 'When you find out that “Democrats were the slave owners” so you give it a try 😂😂😂😂', 'never a slave 2 shit']"
